terme,chatgpt,equivalence,possession,but,autre_relation,texte,notes
cycle de financement,F,T,F,T,contrepartie,"Le cycle de financement regroupe toutes les opérations financières qui concernent l'activité d'une entreprise. On peut le considérer comme la contrepartie du cycle d'investissement et d'exploitation, car il sert à trouver des capitaux pour les financer.",deux phrases
cycle de financement,F,T,F,F,F,"Le cycle de financement concerne toutes les activités liées à la manière dont l’entreprise trouve des fonds pour se financer . On pense par exemple aux intérêts payés sur ses dettes bancaires, les remboursements de prêts etc.",deux phrases + exemple
cycle de financement,T,T,F,T,contrepartie,"Le cycle de financement d'une entreprise est l'ensemble des opérations financières qui sont liées à son activité. C'est le pendant du cycle d'investissement et de financement, car il permet de trouver les capitaux nécessaires à la réalisation des projets de l'entreprise.",deux phrases
cycle de financement,T,T,F,T,F,"Le cycle de financement d'une entreprise englobe toutes les opérations financières liées à son activité. En d'autres termes, c'est le processus qui permet à l'entreprise de trouver les fonds nécessaires pour financer ses investissements et ses projets.",deux phrases
cycle de financement,T,T,F,T,contrepartie,"Pour financer ses activités, une entreprise doit mettre en place un cycle de financement qui regroupe l'ensemble des opérations financières liées à son activité. Ce cycle est la contrepartie du cycle d'investissement et d'exploitation.",deux phrases
cycle de financement,T,T,F,T,contrepartie,"Le cycle de financement d'une entreprise désigne l'ensemble des opérations financières qui permettent de trouver les fonds nécessaires pour financer ses activités. Ce cycle est complémentaire au cycle d'investissement et d'exploitation.",deux phrases
cycle de financement,T,T,F,T,contrepartie,"Le cycle de financement est le processus qui permet à une entreprise de trouver les capitaux nécessaires à la réalisation de ses projets. Il regroupe toutes les opérations financières liées à son activité et est en quelque sorte la contrepartie du cycle d'investissement et de financement.",deux phrases
cycle de financement,T,T,F,T,contrepartie,"Le cycle de financement couvre toutes les opérations financières relatives à l'activité d'une entreprise. Il peut être considéré comme le pendant du cycle d'investissement et de financement, car il sert à trouver des capitaux pour les financer.",deux phrases
cycle d'exploitation,F,T,F,F,nécessité,"Le cycle d'exploitation désigne l'ensemble des opérations nécessaires pour mener à bien les activités économiques, commerciales et productives d'une entreprise, depuis l'achat de marchandises jusqu'à la vente, en passant par le stockage.",F
cycle d'exploitation,F,T,F,F,F,"Le cycle d’exploitation regroupe toutes les activités relatives au cœur d’activité de l’entreprise. Cette catégorie regroupe notamment tous les achats de matières premières, le paiement des salaires, des sous-traitants etc. ainsi que les ventes des produits fabriqués par l'entreprise.",deux phrases + deux fois l'équivalence
cycle d'exploitation,F,T,F,T,F,"Le cycle d’exploitation comprend l'achat de marchandises, le stockage pour aboutir à la vente.",F
cycle d'exploitation,T,T,F,F,nécessité,"Le cycle d'exploitation englobe les différentes étapes qui sont nécessaires pour permettre à une entreprise d'effectuer ses activités économiques, commerciales et productives, allant de l'achat de marchandises à leur stockage jusqu'à la vente finale.",F
cycle d'exploitation,T,T,F,F,F,"Les opérations liées aux activités économiques, commerciales et productives d'une entreprise sont regroupées dans ce que l'on appelle le cycle d'exploitation, qui comprend l'achat de marchandises, leur stockage et leur vente.",deux relations d'équivalence ici
cycle d'exploitation,T,T,F,T,F,"Pour mener à bien ses activités économiques, commerciales et productives, une entreprise doit suivre un cycle d'exploitation qui implique l'achat de marchandises, leur stockage et leur vente ultérieure.",pour+doit
cycle d'exploitation,T,T,F,F,nécessité,"Le cycle d'exploitation d'une entreprise comprend les différentes étapes nécessaires à la réalisation de ses activités économiques, commerciales et productives, notamment l'achat de marchandises, leur stockage et leur vente.",F
cycle d'exploitation,T,T,F,T,F,"Afin de mener à bien ses activités économiques, commerciales et productives, une entreprise doit effectuer un certain nombre d'opérations qui sont regroupées dans ce que l'on appelle le cycle d'exploitation, qui inclut l'achat de marchandises, leur stockage et leur vente.",pour+doit
cycle d'exploitation,T,T,F,T,F,"Le cycle d'exploitation englobe l'acquisition de marchandises et leur entreposage en vue de leur vente ultérieure.",F
durée du cycle d'exploitation,F,T,F,F,F,"La durée du cycle d’exploitation correspond au temps qui s‘écoule entre l’approvisionnement et le règlement des clients . Cette durée peut être plus ou moins longue en fonction de l'activité de l’entreprise (quelques jours à quelques mois).",deux phrases
durée du cycle d'exploitation,T,T,F,F,F,"La durée du cycle d'exploitation représente la période qui s'étend de l'approvisionnement initial au moment où les paiements des clients sont reçus. Cette période peut varier en fonction de la nature de l'entreprise, pouvant aller de quelques jours à plusieurs mois.",deux phrases
durée du cycle d'exploitation,T,T,F,F,F,"Le cycle d'exploitation englobe le laps de temps qui s'écoule depuis l'approvisionnement en produits ou services jusqu'à la réception des paiements des clients, et cette durée peut fluctuer en fonction de la nature de l'entreprise, allant de quelques jours à plusieurs mois.",F
processus de levée de fond,F,T,F,T,F,"Le processus de levée de fonds consiste à trouver et regrouper des apports financiers extérieurs aux fondateurs d'une entreprise, tels que des actionnaires ou des banques, pour créer le capital de l'organisation.",retiré le qui après levée de fonds
processus de levée de fond,T,T,F,T,F,"Le processus de collecte de fonds pour créer le capital d'une entreprise, qui implique la recherche et la réunion de contributions financières provenant de sources externes aux fondateurs, telles que des actionnaires ou des banques, est appelé la levée de fonds.",le terme est levée de fonds dans ces reformulations
processus de levée de fond,T,T,F,T,F,"La levée de fonds est un processus consistant à obtenir des apports financiers extérieurs aux fondateurs d'une entreprise, tels que des actionnaires ou des banques, pour créer le capital de l'organisation.",consiste en = but? 
cycle d'investissement,F,T,F,T,F,"Le cycle d’investissement, qui concerne toutes les opérations relatives à l’acquisition et la cession des immobilisations (machines, brevets, etc.) destinées à rester durablement dans l’entreprise.",but ou nécessité ?
cycle d'investissement,F,T,F,T,F,"Le cycle d'investissement concerne toutes les acquisitions de l’entreprise en immobilisations (machines, brevets, etc.) destinées à rester durablement dans l’entreprise.",but ou nécessité ?
cycle d'investissement,T,T,F,F,F,"Toutes les acquisitions d'immobilisations (machines, brevets, etc.) qui restent dans l'entreprise à long terme font partie du cycle d'investissement de l'entreprise.",F
cycle d'investissement,T,T,F,T,F,"Le cycle d'investissement de l'entreprise couvre toutes les acquisitions d'immobilisations (machines, brevets, etc.) destinées à rester dans l'entreprise pendant une période prolongée.",F
cycle d'investissement,T,T,F,T,F,"L'ensemble des acquisitions d'immobilisations (machines, brevets, etc.) qui sont destinées à demeurer dans l'entreprise sur le long terme constituent le cycle d'investissement de l'entreprise.",F
cycle d'investissement,T,T,F,F,F,"Le cycle d'investissement de l'entreprise englobe toutes les acquisitions d'immobilisations (machines, brevets, etc.) qui resteront durablement dans l'entreprise.",relation de but ?
actif,F,T,F,F,action,"Un actif est un élément identifiable du patrimoine d’une entité ou d'un agent économique (ménage, entreprise, etc.) ayant une valeur économique positive, c'est-à-dire générant une ressource que l'entité contrôle du fait d'événements passés et dont cette entité attend un avantage économique futur.",je ne sais pas quelle relation montrerait le ayant une valeur+revenir sur les relations
actif,T,T,F,F,action,"Un actif se réfère à un composant identifiable du patrimoine d'une entité ou d'un acteur économique (tel qu'un ménage ou une entreprise), ayant une valeur économique positive. Il s'agit d'une ressource que l'entité détient en raison d'événements passés et dont elle anticipe un bénéfice économique dans le futur.",but?
actif,T,T,F,F,action,"Un actif désigne un élément reconnaissable faisant partie du patrimoine d'une entité ou d'un agent économique, tels qu'un ménage ou une entreprise, et ayant une valeur économique positive. En d'autres termes, il s'agit d'une ressource sous le contrôle de l'entité, résultant d'événements passés, et dont l'entité s'attend à tirer un avantage économique à l'avenir.",but ?
passif,F,T,F,F,action,"Le passif est un élément du patrimoine ayant une valeur économique négative pour l’entité, c'est-à-dire une obligation de l'entité à l'égard d'un tiers dont il est probable ou certain qu'elle provoquera une sortie de ressources au bénéfice de ce tiers, sans contrepartie au moins équivalente attendue de celui-ci.",je ne sais pas quelle relation montrerait le ayant une valeur+revenir sur les relations
passif,T,T,F,F,action,"Le passif constitue un composant du patrimoine qui a une valeur économique négative pour l'entité. En d'autres termes, il s'agit d'une dette que l'entité doit à un tiers, avec une probabilité certaine ou probable que cela entraînera la sortie de ressources au profit de ce tiers, sans l'attente d'une contrepartie au moins équivalente.",F
passif,T,T,F,F,action,"Le passif représente un élément du patrimoine d'une entité, et il a une valeur économique négative. Cela signifie qu'il s'agit d'une obligation envers un tiers, pour laquelle il est probable ou certain que l'entité devra fournir des ressources en faveur de ce tiers, sans en attendre en retour une contrepartie équivalente au moins.",F
charge,F,T,F,F,action,"Une charge représente un bien ou un service qui est consommé par l'entreprise au cours de son activité. Il disparaît généralement lors du premier usage c'est-à-dire qu'il n'a plus de substance physique dès lors qu'il est utilisé dans le processus d'exploitation de l'entreprise.",consommation ou but ou action
charge,T,T,F,F,action,"Une charge correspond à un bien ou un service qui est utilisé par l'entreprise pendant son fonctionnement. Habituellement, cette ressource perd sa substance physique dès sa première utilisation, lorsqu'elle est intégrée dans le processus opérationnel de l'entreprise.",F
charge,T,T,F,F,action,"Une charge désigne un élément, qu'il s'agisse d'un bien ou d'un service, qui est consommé dans le cadre de l'activité d'une entreprise. En règle générale, cette ressource perd sa matérialité dès qu'elle est employée dans les opérations courantes de l'entreprise.",F
charge d'exploitation,F,T,F,F,action,"Une charge d'exploitation est un bien ou service consommé par l’entité dans le cadre de son cycle d’exploitation.",consommation ou but ou action 
charge d'exploitation,T,T,F,F,action,"Une charge d'exploitation se rapporte à un bien ou un service utilisé par l'entité au cours de son processus d'exploitation.",F
charge d'exploitation,T,T,F,F,action,"Une charge d'exploitation représente un élément, qu'il s'agisse d'un bien ou d'un service, consommé par l'entité dans le cadre de ses opérations courantes.",F
charge financière,F,T,F,F,action,"Une charge financière est un bien ou service consommé par l’entité dans le cadre de son cycle de financement. ",consommation ou but ou action 
charge financière,T,T,F,F,action,"Une charge financière désigne un bien ou service qui est utilisé par l'entité dans le contexte de son cycle de financement.",F
charge financière,T,T,F,F,action,"Une charge financière représente un élément, qu'il s'agisse d'un bien ou d'un service, consommé par l'entité lors de ses activités de financement.",F
charge exceptionnelle,F,T,F,F,action,"Une charge exceptionnelle est un bien ou service consommé par l’entité dans des opérations autres que les opérations courantes. ",consommation ou but ou action ?
charge exceptionnelle,T,T,F,F,action,"Une charge exceptionnelle correspond à un bien ou service utilisé par l'entité dans le cadre d'opérations qui diffèrent de ses activités courantes.",F
charge exceptionnelle,T,T,F,F,action,"Une charge exceptionnelle représente un élément, tel qu'un bien ou un service, consommé par l'entité en dehors de ses opérations habituelles.",F
charge directe,F,T,F,F,action,"Une charge directe est une charge qu'il est possible d'affecter immédiatement à un bien ou service produit déterminé, sans calcul intermédiaire.",F
charge directe,T,T,F,F,action,"Une charge directe est une dépense qu'il est possible d'attribuer directement à un produit ou un service spécifique, sans nécessiter de calcul intermédiaire.",F
charge directe,T,T,F,F,action,"Une charge directe se réfère à une dépense qui peut être immédiatement assignée à un bien ou service particulier sans nécessiter de calcul intermédiaire.",F
dette,F,T,F,T,nécessité,"Une dette est une obligation que l'entreprise doit exécuter vis à vis de son créancier et qui provoquera une sortie de ressources au profit de ce créancier.",relation de but+relation de nécessité
charge indirecte,F,T,F,F,nécessité,"Une charge indirecte est une charge qui doit être répartie entre plusieurs produits à l'aide d'une clé de répartition.",F
charge indirecte,T,T,F,F,nécessité,"Une charge indirecte est une dépense qui doit être répartie entre plusieurs produits en utilisant un facteur de distribution.",F
charge indirecte,T,T,F,F,nécessité,"Une charge indirecte désigne une dépense qui doit être allouée à plusieurs produits en utilisant une méthode de répartition.",F
charge fixe,F,T,F,F,F,"Une charge fixe est une charge dont le montant ne varie pas avec le niveau d'activité de l'entreprise.",F
charge fixe,T,T,F,F,F,"Une charge fixe est une dépense dont le montant reste constant indépendamment du niveau d'activité de l'entreprise.",F
charge fixe,T,T,F,F,F,"Une charge fixe se caractérise par un montant invariable, peu importe le niveau d'activité au sein de l'entreprise.",F
comptabilité,F,T,F,T,fondation,"La comptabilité est un système d'enregistrement des flux entre une entité (une entreprise, une association, une administration etc.) et son environnement. Elle repose sur un ensemble de règles qui permettent d'encadrer les méthodes utilisées par ceux qui la pratiquent.",deux phrases
comptabilité,T,T,F,T,permettre,"La comptabilité est un système permettant de documenter les transactions entre une entité (comme une entreprise, une association ou une administration) et son environnement. Elle s'appuie sur un ensemble de règles qui régissent les méthodes utilisées par les personnes qui l'appliquent.",F
comptabilité,F,T,F,F,F ,"La comptabilité est un mécanisme d'enregistrement des échanges entre une entité, qu'elle soit une entreprise, une association ou une administration, et son milieu. Elle est basée sur un ensemble de directives qui guident les pratiques des individus qui s'engagent dans cette discipline.",F
comptabilité générale,F,T,F,T,nécessité,"La comptabilité générale répond à un impératif légal. Elle est définie par un ensemble de règles et de principes. Elle vise à produire des documents qui donnent une image fidèle de l'entreprise pour les parties extérieures : banques, actionnaires, partenaires économiques, Etat ...",plusieurs phrases
comptabilité générale,T,T,F,T,nécessité,"La comptabilité générale est une exigence légale qui est définie par un ensemble de règles et de principes. Son objectif est de générer des documents qui présentent de manière exacte l'état de l'entreprise aux parties externes telles que les banques, les actionnaires, les partenaires commerciaux et l'État.",plusieurs phrases
comptabilité générale,T,T,F,T,nécessité,"La comptabilité générale est imposée par la loi et se fonde sur un corpus de règles et de principes. Son but principal est de créer des rapports qui offrent une représentation précise de la situation de l'entreprise à des tiers tels que les banques, les actionnaires, les partenaires économiques et les autorités gouvernementales.",plusieurs phrases
comptabilité analytique,F,T,F,T,F,"La comptabilité analytique correspond à un ensemble de principes et de méthodes qui visent à mieux comprendre le fonctionnement d'une entreprise pour les dirigeants. Les méthodes et les principes ainsi que les documents qui en sont issus sont à usage interne et ne répondent en rien à une obligation légale. Adaptation aux processus de l'entreprise.",plusieurs phrases
comptabilité analytique,F,T,F,T,F,"La comptabilité analytique constitue en quelque sorte une boîte à outils, regroupées dans des grands modèles de gestion, qui permettent au dirigeant d'améliorer le pilotage quotidien de leur organisation.",sert à traité comme but+plusieurs phrases
comptabilité analytique,T,T,F,T,F,"La comptabilité analytique englobe un ensemble de principes et de méthodes conçus pour améliorer la compréhension du fonctionnement d'une entreprise par ses dirigeants. Les méthodes, principes et les documents générés sont destinés à un usage interne et ne sont pas liés à des obligations légales. Elle vise à s'adapter aux processus internes de l'entreprise.",plusieurs phrases
comptabilité analytique,T,T,F,T,F,"La comptabilité analytique comprend un ensemble de principes et de techniques ayant pour objectif d'approfondir la compréhension de la gestion d'une entreprise par ses responsables. Les méthodes, principes et les rapports qui en résultent sont utilisés en interne et ne sont pas dictés par des exigences légales. Elle cherche à s'aligner avec les processus spécifiques de l'entreprise.",plusieurs phrases
comptabilité analytique,T,T,F,F,possibilité,"La comptabilité analytique peut être considérée comme une collection d'outils regroupés au sein de modèles de gestion, offrant aux dirigeants la possibilité d'améliorer la gestion quotidienne de leur organisation.",F
comptabilité analytique,T,T,F,F,possibilité,"La comptabilité analytique se présente comme une boîte à outils intégrée à des modèles de gestion plus vastes, offrant aux dirigeants la capacité d'améliorer la gestion opérationnelle de leur entreprise au jour le jour.",F
comptabilité budgétaire,F,T,F,T,action,"La comptabilité budgétaire est un ensemble de principes et de méthodes qui visent à établir des tableaux de synthèse des encaissements et décaissements d’une entité. Son objectif consiste à établir un budget, c'est à dire un tableau présentant les principales recettes et dépenses de l'entreprise, éventuellement grouper par division. Le budget est attribué à un responsable qui doit en respecter les objectifs. À la fin de la période, le contrôleur calcule les écarts entre le budget prévu et le budget réalisé, afin de comprendre  en quoi la réalité a été différente des prévisions.",plusieurs phrases+ plusieurs relations de but
comptabilité budgétaire,T,T,F,T,action,"La comptabilité budgétaire englobe un ensemble de principes et de méthodes dont l'objectif est de créer des tableaux de synthèse des flux de trésorerie d'une entité, dans le but d'établir un budget. Ce budget présente les principales sources de revenus et les dépenses de l'entreprise, souvent regroupées par secteur. Le budget est confié à un responsable chargé de respecter les objectifs définis. À la fin de la période, un contrôleur calcule les écarts entre le budget prévu et le budget réalisé pour analyser les divergences entre les prévisions et la réalité.",plusieurs phrases
comptabilité budgétaire,T,T,F,T,action,"La comptabilité budgétaire est constituée d'un ensemble de principes et de méthodes visant à créer des états financiers résumant les entrées et sorties d'argent d'une entité. Son objectif majeur est de créer un budget, un document qui expose les principales sources de revenus et les dépenses de l'entreprise, généralement organisés par secteur. Ce budget est confié à un responsable qui doit s'efforcer de respecter les objectifs fixés. À la fin de la période, un contrôleur analyse les écarts entre le budget prévu et le budget réalisé pour comprendre les différences entre les prévisions et les résultats concrets.",F
dette,T,T,F,F,effet,"Une dette représente une responsabilité de l'entreprise envers son créancier, qui se traduira par une sortie de ressources au profit de ce dernier.",F
dette,T,T,F,F,effet,"La dette constitue une obligation de l'entreprise envers son créancier, ce qui occasionnera une sortie de ressources en faveur de ce dernier.",F
dette financière,F,T,F,F,nécessité ou engagement,"Une dette financière représente des sommes empruntées par une entité à un créancier qu’elle s'engage à rembourser selon un échéancier fixé initialement.",F
dette financière,T,T,F,F,nécessité ou engagement,"Une dette financière désigne les montants empruntés par une entité à un créancier, et pour lesquels elle s'engage à effectuer des remboursements conformément à un calendrier préalablement établi.",F
dette financière,T,T,F,F,nécessité ou engagement,"Une dette financière représente les sommes empruntées par une entité à un créancier, assorties d'un engagement de remboursement selon un plan de remboursement défini à l'origine.",F
dette commerciale,F,T,F,F,nécessité ou engagement + contrepartie,"Une dette commerciale est une somme que l'entité s'est engagée à payer à un de ses fournisseurs en contrepartie de l'achat de biens ou de services.",F
dette commerciale,T,T,F,F,nécessité ou engagement + contrepartie,"Une dette commerciale correspond à un montant que l'entité a contracté envers l'un de ses fournisseurs en échange de l'acquisition de biens ou de services.",F
dette commerciale,T,T,F,F,nécessité ou engagement + contrepartie,"Une dette commerciale représente une somme que l'entité s'est engagée à verser à l'un de ses fournisseurs en contrepartie de l'achat de biens ou de services.",F
dette fiscale,F,T,F,F,nécessité,"Une dette fiscale est une somme que l'entité doit payer à une administration au titre de ces taxes et impôts.",F
dette fiscale,T,T,F,F,nécessité,"Une dette fiscale désigne le montant qu'une entité doit verser à une administration en règlement de ses obligations fiscales et taxes.",F
dette fiscale,T,T,F,F,nécessité,"Une dette fiscale représente la somme que l'entité est tenue de payer à une autorité gouvernementale au titre de ses impôts et taxes.",F
dette d'exploitation,F,T,F,F,nécessité ou engagement,"Une dette d'exploitation est une somme que l'entité s'est engagée à payer à une autre entité dans le cadre d'une opération relative à son cycle d'exploitation.",infos ++
dette d'exploitation,T,T,F,F,nécessité ou engagement,"Une dette d'exploitation correspond à un montant pour lequel une entité est engagée envers une autre entité dans le cadre d'une transaction liée à son cycle d'exploitation.",F
dette d'exploitation,T,T,F,F,nécessité ou engagement,"Une dette d'exploitation représente une somme pour laquelle l'entité a pris un engagement envers une autre entité, dans le contexte d'une opération liée à son cycle d'exploitation.",F
dette hors exploitation,F,T,F,F,nécessité ou engagement,"Une dette hors exploitation est une somme que l'entité s'est engagée à payer à une autre entité dans le cadre d'une opération non liée à son cycle d'exploitation.",infos ++
dette hors exploitation,T,T,F,F,nécessité ou engagement,"Une dette hors exploitation désigne un montant pour lequel une entité est engagée envers une autre entité dans le cadre d'une transaction qui ne relève pas de son cycle d'exploitation.",F
dette hors exploitation,T,T,F,F,nécessité ou engagement,"Une dette hors exploitation représente une somme pour laquelle l'entité a pris un engagement envers une autre entité, en dehors des opérations liées à son cycle d'exploitation.",F
valeur ajoutée,F,T,F,T,calcul,"Une valeur ajoutée est un solde intermédiaire de gestion qui permet d'analyser la richesse créée par une entité au cours d'une période donnée. La valeur ajoutée se calcule en retranchant les charges directes hors taxes du chiffre d'affaires hors taxes pour une période donnée, en général l'exercice comptable.",plusieurs phrases
valeur ajoutée,T,T,F,T,calcul,"La valeur ajoutée constitue un indicateur intermédiaire de performance permettant d'évaluer la richesse créée par une entité pendant une période donnée. Pour la calculer, on soustrait les charges directes hors taxes du chiffre d'affaires hors taxes pour cette période, généralement l'exercice comptable.",plusieurs phrases
valeur ajoutée,T,T,F,T,calcul,"La valeur ajoutée est un solde intermédiaire de gestion utilisé pour analyser la création de richesse par une entité sur une période donnée. Elle s'obtient en déduisant les charges directes hors taxes du chiffre d'affaires hors taxes pour cette période, souvent l'exercice comptable.",plusieurs phrases
produit d'exploitation,F,T,F,F,achat,"Un produit d'exploitation constitue une ressource qui est définitivement acquise par l'entreprise bénéficiaire.",F
produit d'exploitation,T,T,F,F,achat,"Un produit d'exploitation représente une ressource que l'entreprise bénéficiaire a acquise de manière définitive dans le cadre de ses opérations courantes.",F
produit d'exploitation,T,T,F,F,achat,"Un produit d'exploitation est une ressource obtenue de manière permanente par l'entreprise au cours de ses activités opérationnelles.",F
produit comptable,F,T,F,F,action,"Un produit comptable représente des ressources générées par le cycle d'exploitation d'une entité.",génération
produit comptable,T,T,F,F,action,"Un produit comptable correspond aux ressources générées par les opérations d'exploitation d'une entité.",génération
produit comptable,T,T,F,F,action,"Les produits comptables sont les ressources engendrées par le cycle d'exploitation d'une entité.",génération
produit financier,F,T,F,F,action,"Un produit financier représente des ressources générées par le cycle de financement d'une entité.",génération
produit financier,T,T,F,F,action,"Un produit financier représente les ressources générées par le cycle de financement d'une entité.",génération
produit financier,T,T,F,F,action,"Les produits financiers sont les ressources issues du cycle de financement d'une entité.",génération
produit exceptionnel,F,T,F,F,action,"Un produit exceptionnel représente des ressources générées par le cycle d'investissement d'une entité.",génération
produit exceptionnel,T,T,F,F,action,"Un produit exceptionnel désigne les ressources générées par le cycle d'investissement d'une entité, qui sortent de l'ordinaire.",génération
produit exceptionnel,T,T,F,F,action,"Les produits exceptionnels sont les ressources atypiques produites par le cycle d'investissement d'une entité.",génération
résultat comptable,F,T,F,F,action,"Un résultat comptable représente, pour une période donnée, le bénéfice ou la perte réalisés par une entité, obtenu en additionnant l’ensemble des produits, auxquels on retranche l’ensemble des charges de l’exercice comptable. Mesure du bénéfice ou de la perte.",plusieurs phrases+réalisation
résultat comptable,T,T,F,F,calcul,"Le résultat comptable, pour une période donnée, représente le profit ou la perte réalisé par une entité. Il est calculé en additionnant l'ensemble des produits et en soustrayant l'ensemble des charges de l'exercice comptable. C'est une mesure du bénéfice ou de la perte, reflétant la performance financière de l'entreprise pour cette période.",plusieurs phrases
résultat comptable,T,T,F,F,calcul,"Le résultat comptable indique, pour une période donnée, le bénéfice ou la perte d'une entité, calculé en agrégeant tous les produits et en déduisant toutes les charges de l'exercice comptable. Il s'agit d'une mesure de la réalisation financière.",plusieurs phrases
résultat financier,F,T,F,F,action,"Un résultat financier représente des bénéfices ou pertes générés par le cycle de financement.",génération
résultat financier,T,T,F,F,génération,"Le résultat financier représente les profits ou les pertes générés par le cycle de financement d'une entité.",F
résultat financier,T,T,F,F,génération,"Les résultats financiers sont les bénéfices ou les pertes issus du cycle de financement d'une entité.",F
résultat exceptionnel,F,T,F,F,action,"Un résultat exceptionnel est un bénéfice ou perte générés par le cycle d'investissement.",génération
résultat exceptionnel,T,T,F,F,génération,"Le résultat exceptionnel désigne les profits ou les pertes générés par le cycle d'investissement d'une entité, qui sont hors du commun.",F
résultat exceptionnel,T,T,F,F,génération,"Les résultats exceptionnels sont les bénéfices ou les pertes inhabituels provenant du cycle d'investissement d'une entité.",F
